City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Paamiut,GL,2020-08-21 02:34:40,61.99,-49.67,44.13,82,0,2.8
120,Poum,NC,2020-08-21 02:35:34,-20.23,164.02,72.41,69,0,7.4
121,Bathsheba,BB,2020-08-21 02:34:05,13.22,-59.52,80.6,88,20,5.82
122,Arman,RU,2020-08-21 02:37:15,59.7,150.17,56.34,53,97,18.52
123,Tilichiki,RU,2020-08-21 02:37:15,60.47,166.1,48.45,93,100,6.53
124,Naranjal,EC,2020-08-21 02:37:16,-2.67,-79.62,75.2,64,40,6.93
125,Comodoro Rivadavia,AR,2020-08-21 02:37:16,-45.87,-67.5,55.4,48,0,11.41
126,Turbat,PK,2020-08-21 02:37:16,26.0,63.04,83.32,75,38,1.54
127,Bredasdorp,ZA,2020-08-21 02:34:12,-34.53,20.04,46.99,96,68,3.0
128,Manzhouli,CN,2020-08-21 02:37:18,49.6,117.43,69.76,48,53,13.02
129,Balfour,ZA,2020-08-21 02:37:18,-26.66,28.59,39.0,87,0,1.9
130,Arraial Do Cabo,BR,2020-08-21 02:34:49,-22.97,-42.03,68.7,84,100,18.14
131,Bambous Virieux,MU,2020-08-21 02:36:07,-20.34,57.76,68.0,77,20,5.82
132,Nueve De Julio,AR,2020-08-21 02:37:18,-35.44,-60.88,43.0,39,0,7.23
133,Saskylakh,RU,2020-08-21 02:34:32,71.92,114.08,44.24,61,100,5.57
134,Iqaluit,CA,2020-08-21 02:34:03,63.75,-68.51,46.4,87,75,1.86
135,Antofagasta,CL,2020-08-21 02:35:21,-23.65,-70.4,55.4,82,40,12.75
136,Willowmore,ZA,2020-08-21 02:37:19,-33.29,23.49,42.4,90,0,2.77
137,Fort Nelson,CA,2020-08-21 02:34:52,58.81,-122.7,59.0,87,90,2.24
138,Wajir,KE,2020-08-21 02:37:20,1.75,40.06,69.85,81,67,6.67
139,Kavaratti,IN,2020-08-21 02:34:49,10.57,72.64,82.2,80,100,12.57
140,San Felipe,VE,2020-08-21 02:37:20,10.34,-68.74,74.34,93,62,1.45
141,Santa Quiteria,BR,2020-08-21 02:37:20,-4.33,-40.16,70.34,77,11,2.84
142,Luderitz,NA,2020-08-21 02:37:21,-26.65,15.16,58.84,31,0,8.68
143,Airai,TL,2020-08-21 02:34:35,-8.93,125.41,78.85,22,0,5.5
144,Takoradi,GH,2020-08-21 02:33:05,4.88,-1.76,74.88,87,100,12.21
145,Riyadh,SA,2020-08-21 02:37:21,24.69,46.72,78.8,24,1,4.7
146,Jiwani,PK,2020-08-21 02:37:22,25.05,61.74,81.68,82,100,8.21
147,Iquique,CL,2020-08-21 02:37:22,-20.22,-70.14,57.2,76,39,6.93
148,Kokkola,FI,2020-08-21 02:37:22,63.84,23.13,60.01,93,0,4.7
149,Shakawe,BW,2020-08-21 02:37:22,-18.37,21.85,46.08,47,70,5.44
150,Kodiak,US,2020-08-21 02:34:38,57.79,-152.41,75.2,38,1,13.87
151,Badah,PK,2020-08-21 02:37:23,27.33,68.01,93.63,52,100,6.78
152,Ilulissat,GL,2020-08-21 02:34:18,69.22,-51.1,42.8,70,33,3.27
153,Pitimbu,BR,2020-08-21 02:37:23,-7.47,-34.81,75.2,100,75,6.93
154,Shumskiy,RU,2020-08-21 02:37:23,54.83,99.13,69.03,58,100,4.03
155,East London,ZA,2020-08-21 02:34:15,-33.02,27.91,59.67,72,100,10.83
156,Port Alfred,ZA,2020-08-21 02:37:24,-33.59,26.89,56.86,79,79,10.07
157,San Carlos,VE,2020-08-21 02:37:24,9.66,-68.58,75.33,91,3,2.68
158,Griffith,US,2020-08-21 02:37:25,41.53,-87.42,71.01,72,1,6.15
159,Sheridan,US,2020-08-21 02:37:25,44.83,-106.92,77.0,44,1,4.36
160,Eureka,US,2020-08-21 02:36:59,40.8,-124.16,69.01,88,1,3.09
161,Hithadhoo,MV,2020-08-21 02:30:58,-0.6,73.08,82.89,75,58,8.93
162,Fuerte Olimpo,PY,2020-08-21 02:37:25,-21.04,-57.87,48.85,89,100,6.35
163,Pevek,RU,2020-08-21 02:34:00,69.7,170.31,37.81,84,100,10.13
164,Khatanga,RU,2020-08-21 02:34:09,71.97,102.5,53.6,47,0,17.38
165,Alyangula,AU,2020-08-21 02:37:26,-13.85,136.42,89.6,35,0,8.05
166,Viedma,AR,2020-08-21 02:35:24,-40.81,-63.0,51.28,54,11,10.42
167,Sept-Iles,CA,2020-08-21 02:34:58,50.2,-66.38,60.01,62,5,6.93
168,Axim,GH,2020-08-21 02:37:27,4.87,-2.24,74.7,88,100,11.39
169,Korfovskiy,RU,2020-08-21 02:37:27,48.22,135.06,73.4,46,0,15.66
170,Katherine,AU,2020-08-21 02:35:05,-14.47,132.27,91.4,36,0,5.82
171,Praia,CV,2020-08-21 02:34:59,14.92,-23.51,78.8,69,20,8.05
172,Nanortalik,GL,2020-08-21 02:35:45,60.14,-45.24,44.94,72,0,3.33
173,Valparaiso,CL,2020-08-21 02:35:06,-33.04,-71.63,50.0,64,0,2.71
174,Chokurdakh,RU,2020-08-21 02:34:42,70.63,147.92,41.4,69,95,5.26
175,Krasnyy Chikoy,RU,2020-08-21 02:37:28,50.36,108.75,72.95,60,100,1.32
176,Codrington,AU,2020-08-21 02:35:07,-38.27,141.97,50.54,75,100,23.06
177,Lavrentiya,RU,2020-08-21 02:35:51,65.58,-171.0,51.26,73,100,6.15
178,Haines Junction,CA,2020-08-21 02:36:08,60.75,-137.51,55.45,74,100,2.35
179,Port Moresby,PG,2020-08-21 02:34:45,-9.44,147.18,84.2,66,40,17.22
180,Russkiy Aktash,RU,2020-08-21 02:37:30,55.04,52.12,51.8,93,75,8.95
181,Shaunavon,CA,2020-08-21 02:37:30,49.65,-108.42,69.58,65,71,7.2
182,Aleppo,SY,2020-08-21 02:37:30,36.25,37.5,70.02,87,0,16.33
183,Qui Nhon,VN,2020-08-21 02:36:32,13.77,109.23,85.71,60,54,2.28
184,Katiola,CI,2020-08-21 02:37:31,8.13,-5.1,75.2,88,40,7.14
185,Saint-Joseph,RE,2020-08-21 02:35:22,-21.37,55.62,66.2,52,20,10.29
186,Rosarito,MX,2020-08-21 02:35:50,32.33,-117.03,82.4,54,40,16.11
187,Severo-Kurilsk,RU,2020-08-21 02:34:42,50.68,156.12,56.52,67,30,21.83
188,Jesus Maria,AR,2020-08-21 02:33:33,-30.98,-64.09,44.01,58,0,10.29
189,Lang Son,VN,2020-08-21 02:35:06,21.83,106.73,76.57,91,100,4.43
190,Henties Bay,NA,2020-08-21 02:36:25,-22.12,14.28,57.7,40,0,5.93
191,Ziduri,RO,2020-08-21 02:37:32,45.3,27.08,66.31,69,0,8.23
192,Tutoia,BR,2020-08-21 02:37:32,-2.76,-42.27,78.87,81,85,11.39
193,Brae,GB,2020-08-21 02:37:32,60.4,-1.35,59.0,93,35,17.22
194,Wanning,CN,2020-08-21 02:37:33,18.8,110.4,85.68,71,100,4.25
195,Sayyan,YE,2020-08-21 02:37:33,15.17,44.32,63.82,56,70,2.66
196,Lae,PG,2020-08-21 02:37:33,-6.72,146.98,86.0,55,75,4.7
197,Constitucion,CL,2020-08-21 02:36:25,-35.33,-72.42,50.36,74,0,4.74
198,Saint-Francois,FR,2020-08-21 02:37:34,46.42,3.91,78.8,39,46,11.41
199,Krasnoselkup,RU,2020-08-21 02:35:39,65.7,82.47,61.54,75,0,11.39
200,Montepuez,MZ,2020-08-21 02:37:35,-13.13,39.0,67.69,74,90,5.57
201,Andenes,NO,2020-08-21 02:37:35,69.31,16.12,44.6,87,91,3.36
202,Wajima,JP,2020-08-21 02:37:36,37.4,136.9,84.2,74,40,3.36
203,Goya,AR,2020-08-21 02:37:36,-29.14,-59.26,37.9,73,0,0.81
204,Dalvik,IS,2020-08-21 02:37:36,65.97,-18.53,44.6,75,4,4.7
205,Vardo,NO,2020-08-21 02:34:01,70.37,31.11,48.94,84,100,4.83
206,Yeppoon,AU,2020-08-21 02:37:37,-23.13,150.73,77.0,17,12,10.29
207,General Higinio Morinigo,PY,2020-08-21 02:37:37,-25.95,-55.92,38.37,80,14,4.03
208,Faanui,PF,2020-08-21 02:34:23,-16.48,-151.75,77.88,79,18,23.26
209,Tessalit,ML,2020-08-21 02:36:14,20.2,1.01,91.29,15,0,10.2
210,Grindavik,IS,2020-08-21 02:35:04,63.84,-22.43,48.2,87,99,6.93
211,Urdoma,RU,2020-08-21 02:37:38,61.75,48.54,52.54,90,100,6.38
212,Abu Dhabi,AE,2020-08-21 02:37:38,24.47,54.37,93.2,71,54,3.36
213,Nyurba,RU,2020-08-21 02:33:04,63.28,118.33,61.52,43,100,2.28
214,Ponta Do Sol,PT,2020-08-21 02:34:34,32.67,-17.1,75.2,83,75,4.7
215,Miles City,US,2020-08-21 02:35:28,46.41,-105.84,87.8,23,1,5.82
216,Alice Springs,AU,2020-08-21 02:30:08,-23.7,133.88,75.0,18,0,5.82
217,Linkoping,SE,2020-08-21 02:37:39,58.41,15.62,62.6,88,73,4.7
218,Ciudad Real,ES,2020-08-21 02:37:39,39.0,-4.0,73.0,45,0,5.64
219,Havre-Saint-Pierre,CA,2020-08-21 02:37:40,50.23,-63.6,56.17,66,0,7.36
220,Mount Pleasant,US,2020-08-21 02:37:40,32.79,-79.86,81.0,94,40,9.15
221,Gushikawa,JP,2020-08-21 02:37:40,26.35,127.87,89.6,70,40,11.41
222,Batticaloa,LK,2020-08-21 02:37:40,7.71,81.69,83.59,67,50,6.38
223,Benghazi,LY,2020-08-21 02:37:41,32.12,20.07,78.19,75,0,15.26
224,Vidim,RU,2020-08-21 02:37:41,56.41,103.11,71.26,45,100,7.02
225,Tiksi,RU,2020-08-21 02:34:14,71.69,128.87,40.51,82,100,9.22
226,Lima,PE,2020-08-21 02:32:55,-12.04,-77.03,60.8,77,90,13.87
227,Yerbogachen,RU,2020-08-21 02:33:42,61.28,108.01,66.78,62,0,9.06
228,Makaha,US,2020-08-21 02:37:42,21.47,-158.22,87.8,61,1,16.11
229,Geraldton,AU,2020-08-21 02:31:06,-28.77,114.6,60.8,63,99,10.29
